3.083,-2.69,0.4,-0.31
3.088,-2.85,0.39,-0.31
3.093,-3.01,0.38,-0.3
3.098,-3.16,0.38,-0.3
3.104,-3.32,0.37,-0.31
3.108,-3.49,0.36,-0.32
3.124,-3.66,0.34,-0.33
3.126,-3.83,0.35,-0.34
3.128,-3.99,0.34,-0.35
3.13,-4.14,0.32,-0.34
3.148,-4.26,0.3,-0.34
3.149,-4.36,0.29,-0.33
3.15,-4.44,0.31,-0.32
3.152,-4.51,0.33,-0.32
3.153,-4.54,0.36,-0.31
3.157,-4.57,0.37,-0.31
3.172,-4.58,0.36,-0.31
3.174,-4.59,0.36,-0.31
3.175,-4.58,0.39,-0.33
3.178,-4.54,0.42,-0.33
3.192,-4.48,0.42,-0.32
3.194,-4.39,0.38,-0.31
3.196,-4.29,0.34,-0.31
3.207,-4.17,0.29,-0.31
3.209,-4.05,0.24,-0.33
3.211,-3.92,0.21,-0.34
3.228,-3.79,0.2,-0.35
3.23,-3.68,0.19,-0.35
3.231,-3.56,0.19,-0.33
3.232,-3.45,0.19,-0.32
3.234,-3.33,0.18,-0.31
3.236,-3.22,0.16,-0.29
3.241,-3.11,0.13,-0.29
3.248,-3.02,0.12,-0.28
3.251,-2.91,0.15,-0.27
3.256,-2.81,0.19,-0.26
3.261,-2.7,0.24,-0.24
3.271,-2.56,0.29,-0.22
3.272,-2.42,0.34,-0.2
3.275,-2.27,0.36,-0.18
3.294,-2.11,0.35,-0.17
3.296,-1.95,0.32,-0.15
3.298,-1.78,0.28,-0.14
3.299,-1.62,0.23,-0.13
3.301,-1.46,0.18,-0.11
3.305,-1.31,0.13,-0.1
3.311,-1.17,0.08,-0.09
3.322,-1.04,0.04,-0.09
3.323,-0.91,0.01,-0.09
3.344,-0.79,-0.01,-0.08
3.346,-0.68,-0.02,-0.07
3.348,-0.57,-0.03,-0.05
3.349,-0.48,-0.03,-0.04
3.351,-0.4,-0.03,-0.03
3.352,-0.33,-0.04,-0.03
3.362,-0.25,-0.04,-0.02
